nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
ESCUELA 9 DE AGOSTO,-0.0919913,-78.502957,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CANCHAS SANTA LUCIA,-0.228340894,-78.5284957886,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
COMITE PROMEJORAS,-0.117962,-78.504466,LA DELICIA,COTOCOLLAO,10.0,1.8,3
IGLESIA TREBOLES DEL SUR,-0.312358,-78.535171,QUITUMBE,QUITUMBE,10.0,6.2,2
ESTADIO DEL COMITE DEL PUEBLO,-0.1213826,-78.4668841,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
PARQUE FULTON,-0.2374829,-78.5111554,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CANCHA CENEPA,0.0045,-78.4483,LA DELICIA,SAN ANTONIO,80.0,0.3,4
CALLE NORUEGA,-0.186848,-78.480621,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE LAS PIRAMIDES LA DELICIA,-0.086858,-78.462889,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
CANCHAS BIENESTAR COMUNITARIO,-0.3554,-78.545473,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE LINEAL QUITO SUR,-0.2625459,-78.5382211,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
LIGA BARRIAL ANGAMARCA,-0.290465,-78.424705,LOS CHILLOS,ALANGASI,40.0,0.55,4
PARQUE INFANTIL,0.00527,-78.440626,LA DELICIA,SAN ANTONIO,80.0,0.3,4
ESTADIO JAIME DEL CASTILLO,-0.230595,-78.336134,TUMBACO,PIFO,100.0,0.13,4
CANCHAS TAMBO DEL INCA,-0.299614,-78.519662,QUITUMBE,QUITUMBE,10.0,6.2,2
PLAZA GRANDE,-0.2205748111,-78.5117034912,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
CANCHA RIO COCA,-0.1630683,-78.4706728,EUGENIO ESPEJO,JIPIJAPA,4.5,2.2222222222222223,3
PARQUE DE CHIMBACALLE,-0.2398357,-78.5147423,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CANCHAS CIUDADELA IBARRA,-0.29363,-78.563035,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
PARQUE MARIANITA DE JESUS CALDERON,-0.082726,-78.418679,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE TODOS UNIDOS,-0.2456617,-78.4912783,MANUELA SAENZ,PUENGASI,15.0,3.2,3
LIGA DEPORTIVA MUNICIPAL TURUBAMBA,-0.3140702,-78.563656,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
BOULEVARD COCOTOG,-0.1386745,-78.4292067,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
CANCHA TOLA CHICA 1,-0.2083159,-78.39338,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
BOULEVARD GARCIA MORENO COCOTOG,-0.11855,-78.504355,LA DELICIA,COTOCOLLAO,10.0,1.8,3
CANCHA COCOTOG,-0.139598,-78.42555,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
VISTA HERMOSA,-0.085939,-78.513515,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARQUE DEL AGUA EPMAPS,-0.1892013,-78.4903958,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
IGLESIA SAN JOSE OBRERO VALLE DEL SUR,-0.300418,-78.535447,QUITUMBE,QUITUMBE,10.0,6.2,2
COLEGIO MUNICIPAL 9 DE OCTUBRE,-0.1929941,-78.5091874,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
SAN BARTOLO,-0.273019,-78.53005,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
PARQUE DE LAS DIVERSIDADES,-0.261534,-78.523432,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
CASA SOMOS COCOTOG,-0.1399308,-78.4262794,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
PARQUE CENTRAL LLANO CHICO,-0.1276796,-78.4442562,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
PARQUE SODIRO,-0.117372,-78.497895,LA DELICIA,COTOCOLLAO,10.0,1.8,3
BELLAVISTA,-0.188991,-78.470259,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE SAN ALFANSO,-0.327829,-78.576876,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
CASA BARRIAL UNIO GEOGRAFICA,-0.2885568,-78.475215,LOS CHILLOS,CONOCOTO,50.0,0.72,3
CASA BARRIAL BARRIO ARBOLITO,-0.0664075,-78.4291125,CALDERON,CALDERON,30.0,4.566666666666666,2
BOULEVARD COCOTOG,-0.1388822,-78.4127746,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
CANCHAS LA TOLITA,-0.204563,-78.475975,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
PARQUE LLANO GRANDE,-0.1144506,-78.4317463,CALDERON,CALDERON,30.0,4.566666666666666,2
CANCHAS CARLOS E. FRANCO MENDEZ,-0.3157317,-78.5437983,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE MATILDE ALVAREZ,-0.342272,-78.549813,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
SAN SALVADOR,-0.205505,-78.524672,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
PARQUE GARROCHAL,-0.3353927,-78.5334158,QUITUMBE,TURUBAMBA,6.0,9.0,1
CANCHAS DE FUTBOL PUEBLO UNIDO,-0.2962633,-78.532425,QUITUMBE,QUITUMBE,10.0,6.2,2
BELLAVISTA,-0.1915413,-78.469577,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE TODOS UNIDOS,-0.246315,-78.491188,MANUELA SAENZ,PUENGASI,15.0,3.2,3
UNIDAD EDUCATIVA,-0.0785897,-78.5280393,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CANCHA CIUDADELA MEXICO,-0.236963,-78.5112137,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
PARQUE SAN MIGUEL DE COLLACOTO,-0.246475,-78.483137,MANUELA SAENZ,PUENGASI,15.0,3.2,3
GUARDERIA ANGEL DE LA GUARDA,-0.273862,-78.526183,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
LIGA BARRIAL BELLAVISTA DEL SUR,-0.3331267,-78.5275283,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE CENTRAL TERRANOVA,-0.302137,-78.552835,QUITUMBE,QUITUMBE,10.0,6.2,2
CANCHA DORADO DEL SUR,-0.322489,-78.546109,QUITUMBE,TURUBAMBA,6.0,9.0,1
MERCADO CENTRAL DE TUMBACO,-0.213787,-78.408617,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
CASA BARRIAL SANTO TOMAS,-0.329557,-78.545101,QUITUMBE,TURUBAMBA,6.0,9.0,1
IGLESIA EL BELEN,-0.138802,-78.420648,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
PARQUE CARLOTA JARAMILLO,-0.001487,-78.513812,CHOCO ANDINO,CALACALI,100.0,0.06,5
LIGA BARRIAL KENNEDY 3RA ETAPA.,-0.13715,-78.47449,EUGENIO ESPEJO,KENNEDY,3.0,5.0,2
PARQUE COLINAS DEL NORTE,-0.095393,-78.507725,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
LIGA BARRIAL LAS TOLAS,-0.0640921,-78.4598532,LA DELICIA,POMASQUI,8.0,2.5,3
PARQUE SAUCES DEL VALLE,-0.2537979,-78.490709,MANUELA SAENZ,PUENGASI,15.0,3.2,3
CANCHAS BARRIO NUEVO,-0.2518044,-78.5346114,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
LIGA BARRIAL LOS LIBERTADORES,-0.2417878,-78.5371262,ELOY ALFARO,CHILIBULO,5.0,5.2,2
BANCO CENTRAL DEL ECUADOR,-0.2155361,-78.5056413,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
IGLESIA PINTAG,-0.3716283,-78.3750217,LOS CHILLOS,PINTAG,544.0,0.03125,5
PARQUE GABRIELA MISTRAL,-0.202055,-78.4888312,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
PLAZA REPUBLICA,-0.2139214,-78.5032517,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
PARQUE SAN CARLOS DE ALANGASI,-0.29656,-78.44093,LOS CHILLOS,ALANGASI,40.0,0.55,4
PARQUE JESUS DE NAZARETH,-0.3204413,-78.5371918,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE VIDA NUEVA 2,-0.351208,-78.528938,QUITUMBE,TURUBAMBA,6.0,9.0,1
UNIDAD EDUCATIVA DANIEL E PROAÑO,-0.228524,-78.52483,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
PARQUE SANTA ANA,-0.2387605,-78.5198469,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
PARQUE CENTRAL NANEGAL,0.1370848,-78.6754418,CHOCO ANDINO,NANEGAL,350.0,0.005714285714285714,5
CANCHAS BARRIO ECUADOR DEL FUTURO,-0.3412516,-78.5410089,QUITUMBE,TURUBAMBA,6.0,9.0,1
ECOVIA MARIN CENTRAL 1,-0.2219762,-78.5081485,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
PARQUE SAN ISIDRO DE PUENGASI,-0.247165,-78.497321,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE FULTON,-0.238055,-78.511339,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CANCHAS SANTA ROSA DE LA ARGELIA,-0.27641,-78.527965,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
ESCUELA VICENTE AURELIO CRESPO OCHOA,-0.2769944,-78.5169774,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
CASA BARRIAL 14 DE ENERO,-0.25979,-78.540326,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
UNIDAD EDUCATIVA FEDERICO GARCIA LORCA,-0.31485,-78.559594,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
PARQUE CRUZ ROJA CALDERON,-0.0983587,-78.4363248,CALDERON,CALDERON,30.0,4.566666666666666,2
CANCHAS EL MIRADOR DE SAN MARTIN,-0.311355,-78.5236633,QUITUMBE,QUITUMBE,10.0,6.2,2
BELLAVISTA,-0.190458,-78.474068,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE BONANZA,-0.136373,-78.478975,EUGENIO ESPEJO,KENNEDY,3.0,5.0,2
UNIDAD EDUCATIVA LEIBNITZ,-0.110475,-78.460637,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
PARQUE WLADIMIR CONDE,-0.267386,-78.534858,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
LIGA BARRIAL MATILDE ALVAREZ,-0.3404682,-78.5458379,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE DE CHIMBACALLE,-0.2402933,-78.5145967,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
PARQUE PUEMBO,-0.1771605,-78.3589059,TUMBACO,PUEMBO,40.0,0.3,4
