nombre,lat,lng,az,parroquia
PARQUE CENTRAL PERUCHO,0.108834,-78.423532, EUGENIO ESPEJO ,PERUCHO
PARQUE LA MERCED,-0.135175,-78.4659, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
PLAZA REPUBLICA DE NICARAGUA,-0.180053,-78.472669, EUGENIO ESPEJO ,IÑAQUITO
PLAZA SAN LORENZO GUAYLLABAMBA,-0.057797,-78.351769, EUGENIO ESPEJO ,GUAYLLABAMBA
PARQUE DEL GUAMBRA,-0.065653,-78.356184, EUGENIO ESPEJO ,GUAYLLABAMBA
COMPLEJO DEPORTIVO GUAYLLABAMBA,-0.06399,-78.355967, EUGENIO ESPEJO ,GUAYLLABAMBA
CASA COMUNAL LA CONCEPCION GUAYLLABAMBA,-0.063019,-78.352814, EUGENIO ESPEJO ,GUAYLLABAMBA
COLEGIO BENALCAZAR,-0.184,-78.4797, EUGENIO ESPEJO ,IÑAQUITO
CANCHA BELLAVISTA GUANGÜILTAGUA,-0.1679034,-78.4584479, EUGENIO ESPEJO ,IÑAQUITO
CASA COMUNAL GUAYLLABAMBA,-0.065055,-78.363093, EUGENIO ESPEJO ,GUAYLLABAMBA
ESCUELA HOMERA VITERI LAFRONTE,-0.055862,-78.353597, EUGENIO ESPEJO ,GUAYLLABAMBA
LIGA BARRIAL LA PULIDA,-0.136968,-78.508709, EUGENIO ESPEJO ,COCHAPAMBA
CNE PICHINCHA,-0.177848,-78.487997, EUGENIO ESPEJO ,IÑAQUITO
OBELISCO DE COTOCOLLAO,-0.1187,-78.4942, LA DELICIA ,COTOCOLLAO
CASA BARRIAL INGAPI,-0.0391,-78.441, LA DELICIA ,POMASQUI
ESTADIO PACTO,0.143601,-78.766972,CHOCO ANDINO,PACTO
PARQUE GUALEA,0.111563,-78.749298,CHOCO ANDINO,GUALEA
INFOCENTRO INGAPI,0.126567,-78.797277,CHOCO ANDINO,PACTO
PARQUE DE TULIPE,0.086953,-78.734495,CHOCO ANDINO,NANEGALITO
CATZUQUI DE VELASCO,-0.0616,-78.5085, LA DELICIA ,EL CONDADO
PARQUE PACTO,0.141855,-78.767681,CHOCO ANDINO,PACTO
CANCHA DE TANLAHUA,0.043528,-78.449032, LA DELICIA ,SAN ANTONIO
MIRADOR DE PULULAHUA,0.025317,-78.483233,CHOCO ANDINO,CALACALI
PARQUE LA HACIENDA,-0.0647,-78.5188,CHOCO ANDINO,NONO
PARQUE CENTRAL DE PUSUQUI,-0.067703,-78.463377, LA DELICIA ,POMASQUI
CANCHA LA FLORIDA,-0.142819,-78.497824, EUGENIO ESPEJO ,LA CONCEPCION
COLEGIO ANDRES BELLO,-0.106473,-78.491986, LA DELICIA ,PONCEANO
PARQUE LA FLORIDA,-0.142453132,-78.49386027, EUGENIO ESPEJO ,LA CONCEPCION
BOULEVARD AMAZONAS,-0.206721,-78.49715,LA MARISCAL,MARISCAL SUCRE
BOULEVARD AMAZONAS,-0.20449,-78.495177,LA MARISCAL,MARISCAL SUCRE
BOULEVARD AMAZONAS,-0.20141,-78.492073,LA MARISCAL,MARISCAL SUCRE
BOULEVARD AMAZONAS,-0.200393,-78.490923,LA MARISCAL,MARISCAL SUCRE
PLAZA DE LAS FOCAS,-0.210728,-78.493635, MANUELA SAENZ,ITCHIMBIA
METRO LA MAGDALENA,-0.239227,-78.52358,ELOY ALFARO,LA MAGDALENA
CONOCOTO,-0.292116,-78.476476, LOS CHILLOS,CONOCOTO
MULTIGENERACIONAL LA MERCED,-0.29434,-78.398885, LOS CHILLOS,LA MERCED
PARADA PINTAG,-0.341147,-78.382917, LOS CHILLOS,PINTAG
CASA BARRIAL LA LIBERTAD AMAGUAÑA,-0.359199,-78.515698, LOS CHILLOS,AMAGUAÑA
UBILLUS PINTAG,-0.421491,-78.376784, LOS CHILLOS,PINTAG
IGLESIA TOLONTAG,-0.338292,-78.352561, LOS CHILLOS,PINTAG
CONOCOTO,-0.292601,-78.475439, LOS CHILLOS,CONOCOTO
ESTADIO LA TOGLLA,-0.249406,-78.440553, LOS CHILLOS,GUANGOPOLO
ESTADIO SAN AGUSTIN,-0.3648,-78.3509, LOS CHILLOS,PINTAG
CANCHA VALENCIA,-0.375125,-78.389885, LOS CHILLOS,PINTAG
CANCHA SANTA TERESA,-0.349574,-78.409954, LOS CHILLOS,PINTAG
IGLESIA LA TOLA,-0.3549,-78.3893, LOS CHILLOS,PINTAG
PARQUE DE LA COCHA,-0.307623,-78.399059, LOS CHILLOS,LA MERCED
PARQUE METROPOLITANO DEL SUR,-0.338969,-78.512764, LOS CHILLOS,AMAGUAÑA
PARQUE LA CHORRERA,-0.277607,-78.478635, LOS CHILLOS,CONOCOTO
GENERAL CALICUCHIMA,-0.322588,-78.419344, LOS CHILLOS,ALANGASI
CANCHAS GONZALES SUAREZ,-0.358674,-78.474696, LOS CHILLOS,AMAGUAÑA
PARQUE RECREATIVO LA ARMENIA 2,-0.294214,-78.464615, LOS CHILLOS,CONOCOTO
PARQUE CONOCOTO,-0.293717,-78.46881, LOS CHILLOS,CONOCOTO
SUBIDA AL PASOCHOA,-0.398404,-78.495052, LOS CHILLOS,AMAGUAÑA
CASA COMUNAL MIRANDA GRANDE,-0.327198,-78.503181, LOS CHILLOS,AMAGUAÑA
PARQUE ALANGASI,-0.32198,-78.409723, LOS CHILLOS,ALANGASI
PLAZOLETA SAN FRANCISCO DE ALPAHUMA,-0.332976,-78.406367, LOS CHILLOS,ALANGASI
SAN BLAS,-0.219782,-78.503836, MANUELA SAENZ,CENTRO HISTORICO
LA TOLA,-0.22399,-78.504515, MANUELA SAENZ,CENTRO HISTORICO
ECOVIA SIMON BOLIVAR,-0.215896,-78.503044, MANUELA SAENZ,ITCHIMBIA
TROLE ALAMEDA NORTE,-0.21494,-78.503422, MANUELA SAENZ,ITCHIMBIA
PARQUE LA ALAMEDA,-0.21566,-78.502787, MANUELA SAENZ,ITCHIMBIA
PARADA EL TREBOL,-0.23306,-78.504709, MANUELA SAENZ,PUENGASI
PLAZA CHICA,-0.221143,-78.511331, MANUELA SAENZ,CENTRO HISTORICO
SAN FRANCISCO,-0.22047,-78.514617, MANUELA SAENZ,CENTRO HISTORICO
ESCUELA DANIEL OLEARY,-0.218035,-78.52633, MANUELA SAENZ,LA LIBERTAD
ESCUELA SUCRE,-0.224035,-78.510358, MANUELA SAENZ,CENTRO HISTORICO
PASAJE SANGUÑA,-0.21862,-78.515454, MANUELA SAENZ,CENTRO HISTORICO
PARQUE PUENGASI,-0.252377,-78.49526, MANUELA SAENZ,PUENGASI
MIRAVALLE,-0.210796,-78.474703, MANUELA SAENZ,ITCHIMBIA
PARQUE SANTA ANITA DEL SUR,-0.330281,-78.565914,QUITUMBE,GUAMANI
PLATAFORMA SUR,-0.2918,-78.5463,QUITUMBE,QUITUMBE
DIVINO NIÑO,-0.330739,-78.570416,QUITUMBE,GUAMANI
CASA BARRIAL LAS CUADRAS DE FUNDEPORTE,-0.285737,-78.558087,QUITUMBE,CHILLOGALLO
DIVINO NIÑO,-0.3331,-78.5246,QUITUMBE,TURUBAMBA
CAUSAYLLACTA,-0.2893,-78.5516,QUITUMBE,QUITUMBE
NUEVOS HORIZONTES DEL SUR,-0.3076,-78.5301,QUITUMBE,QUITUMBE
CANCHAS SAN FERNANDO,-0.336052,-78.562274,QUITUMBE,GUAMANI
VIA DEL OLEODUCTO,-0.29112,-78.562884,QUITUMBE,CHILLOGALLO
LIGA MARQUESA DE SOLANDA,-0.268948,-78.545918,ELOY ALFARO,SOLANDA
TERRANOVA,-0.299742,-78.553502,QUITUMBE,QUITUMBE
RESERVORIO DE CUMBAYA,-0.19534,-78.429842, TUMBACO,CUMBAYA
MERCADO EL QUINCHE,-0.109817,-78.297767, TUMBACO,EL QUINCHE
PARQUE LA ESPERANZA,-0.097483,-78.289997, TUMBACO,EL QUINCHE
PARQUE CENTRAL EL QUINCHE,-0.110783,-78.29711, TUMBACO,EL QUINCHE
CASA COMUNAL COMUNA CENTRAL,-0.227872,-78.408247, TUMBACO,TUMBACO
CHURULOMA,-0.197278,-78.398106, TUMBACO,TUMBACO
ESTADIO OTON DE VELEZ,-0.116528,-78.346915, TUMBACO,YARUQUI
ESTADIO CHINANGACHI,-0.181153,-78.316387, TUMBACO,YARUQUI
TUMBACO,-0.215477,-78.409495, TUMBACO,TUMBACO
PARQUE LA PRIMAVERA,-0.213958,-78.425052, TUMBACO,CUMBAYA
PARADA DE BUSES CUENDINA,-0.375845,-78.486513, LOS CHILLOS,AMAGUAÑA
ESCUELA RAFAEL ARMIJOS,-0.30716,-78.438309, LOS CHILLOS,ALANGASI
PLATAFORMA SUR,-0.2918,-78.3988,QUITUMBE,QUITUMBE
CANCHA LA MERCED,-0.293964,-78.400151, LOS CHILLOS,LA MERCED
PLAZA GASTRONOMICA LA MERCED,-0.293139,-78.405111, LOS CHILLOS,LA MERCED
IGLESIA CHAUPITENA,-0.3382,-78.4818, LOS CHILLOS,AMAGUAÑA
COLISEO CONOCOTO,-0.2919,-78.474, LOS CHILLOS,CONOCOTO
PATIO DE COMIDAS CONOCOTO,-0.2934,-78.4757, LOS CHILLOS,CONOCOTO
LIGA BARRIAL SALVADOR CELI,-0.2552,-78.4751, LOS CHILLOS,CONOCOTO
ESCUELA CALICUCHIMA ALANGASI,-0.324427,-78.417384, LOS CHILLOS,ALANGASI
COLEGIO NACIONAL ATAHUALPA,-0.3727,-78.5032, LOS CHILLOS,AMAGUAÑA
GAD PINTAG,-0.371703,-78.37379, LOS CHILLOS,PINTAG
